"","Month","Year","SPI3","SPEI3","SMI(PREC-PET3)","SMI(PREC-RH3)","SMI(PREC-TMean3)","SMI(PREC-PET-RH3)","SPI6","SPEI6","SMI(PREC-PET6)","SMI(PREC-RH6)","SMI(PREC-TMean6)","SMI(PREC-PET-RH6)","SPI9","SPEI9","SMI(PREC-PET9)","SMI(PREC-RH9)","SMI(PREC-TMean9)","SMI(PREC-PET-RH9)","SPI12","SPEI12","SMI(PREC-PET12)","SMI(PREC-RH12)","SMI(PREC-TMean12)","SMI(PREC-PET-RH12)"
"140",8,1961,0.0968795317346347,0.23859543375335,0.498314747371488,0.878924499967029,0.563320637620883,0.232761524573555,0.468683478120218,0.459627513711521,0.445395968598439,0.972976660082762,0.533856363502326,-0.0162350532733409,1.29998097984517,1.29997929869521,0.39696083692445,0.863236558922479,0.36115801944117,0.321891005075896,0.804071018442742,0.667250750379256,-0.236990766322471,1.08319656923569,-0.258500552742697,-0.584092098094797
"141",9,1961,-0.247618816571537,0.419169796263844,0.728222842552973,0.609722901906413,0.783669082758011,0.544005083757367,-0.462470017138221,-0.207763075603301,0.331106237481519,0.536063891425692,0.36977628554915,-0.336331352856894,1.54903919678786,1.69097584838638,1.0256357853888,1.31508850709469,0.999383302983015,0.78563799988798,0.804905461679643,0.781872851657378,0.0175841041920152,1.04641113527595,0.00574927224167214,-0.302068939199092
"142",10,1961,-0.186387634451836,0.341369737201323,0.276552144935387,0.309964702929816,0.278534515748687,0.110848985920691,0.125288718653168,0.434065719354267,0.924324098639001,0.943634839557479,0.951487247873971,0.681831603444433,1.79083824159568,1.86618530630606,1.20572438235311,1.52216773260321,1.17126254561315,1.06373937947846,0.97781558085628,1.09860973407929,0.521820466139793,1.16036131013035,0.489053976568386,0.280560680597388
"143",11,1961,-0.641217366784732,-0.277383452600261,0.105968498772282,0.413617039286617,0.101099155323703,0.0253539844550588,-0.570067940260873,-0.140461142105298,0.42729278110568,0.913964887371551,0.469815741145679,0.182515226763551,0.0737645887924647,0.252401559006863,0.424845226811416,1.0332340252536,0.494261520047142,0.00138226426129551,0.997394916988097,1.09308640675885,0.396762418470247,0.954393309145637,0.363321597278379,0.291442779872961
"144",12,1961,-0.57361076352173,-0.761449156258824,-0.71920376054448,0.164799963060087,-0.73945274563349,-0.522488721808722,-0.780199051653085,-0.487589823381676,0.0063774540482829,0.547670370001844,0.0312656718199792,0.0152143654403513,-0.886272889882897,-0.710315856363403,-0.144885373925043,0.532841637543071,-0.125002168885468,-0.57627240385126,1.09804798402371,1.23691191003282,0.528624764904869,1.22130003689899,0.495764955684546,0.419138105177026
"145",1,1962,-1.03159805940562,-1.27332621087056,-0.906118329671052,0.109031401459319,-0.898376627381495,-0.952853313041955,-1.13440542567037,-0.989541807028713,-0.445170518432331,0.296274986704304,-0.438294560400548,-0.595386969495862,-0.797154921788589,-0.613401633560727,0.231559804654611,0.833423929125625,0.258208097033055,0.00658305619784892,1.12700603744575,1.26991026048969,0.591128780244571,1.372751625985,0.565154805311466,0.444798669113264
"146",2,1962,-0.143173758372854,-0.240224735924239,0.0998474432032665,1.51547974440696,0.16396857482985,0.0148269161089566,-0.628345589458045,-0.573382073395358,0.145533848247208,1.36407741731488,0.187431189465304,0.0284121872629976,-0.688910910193039,-0.416135213632842,0.406530043039188,1.62121184401165,0.478270247128126,0.157583382626446,-0.0970243947171812,0.0343415112780513,0.417850480696881,1.65254678612755,0.510027319888862,0.00861053401950352
"147",3,1962,-0.234325267936607,-0.43123292244393,-0.437680075650849,0.368593655907952,-0.373684914186249,-0.499531239904801,-0.73856370530342,-1.03031044302891,-0.818040405618824,0.377166245013934,-0.787107187652662,-0.722677245435648,-0.852946098199314,-0.764654264423732,-0.247487540070507,0.659978631041973,-0.190218771656112,-0.275982018464633,-0.849183777667808,-0.812154380360665,-0.344314452281319,0.645751222260375,-0.295097510876092,-0.748832161187517
"148",4,1962,0.145839374692667,-0.0293389091549991,0.0356544032847902,0.832301191309768,0.102098470272905,-0.0584712756553145,-0.670239134355887,-0.96838432948632,-0.615510945125993,0.665622659698936,-0.563053684602211,-0.715114474648536,-0.781851713308746,-0.763355721068333,-0.342895126895553,0.722436830508012,-0.298919430710357,-0.519889831661749,-0.55088297751675,-0.483762535590827,0.21836387496865,1.13791689039952,0.274664006629916,-0.0235345439257795
"149",5,1962,0.23095155033375,-0.127097439367033,-0.746638974929245,-0.487412193079792,-0.727258481991575,-0.68034148972922,0.0212393000731042,-0.222915169146563,-0.457350678097474,0.726953537061286,-0.398306113127996,-0.470589867985362,-0.319442768893409,-0.412157097684644,-0.312244323659767,0.832356986477401,-0.266845954990637,-0.36959688847912,-0.350387500955187,-0.336279877504367,-0.0212541427911045,1.1603045452904,0.050564942891431,-0.203699532295825
"150",6,1962,0.271215441791179,0.0628481945819173,-0.272385373625303,0.277179311297883,-0.270446008522771,-0.235685008782108,-0.0718950658614515,-0.331601656670166,-0.502092094269439,0.456630444218204,-0.455469343419496,-0.519876395085049,-0.417485014355681,-0.717672416273979,-0.825188963034385,0.467984499486854,-0.798812403363918,-0.726136303276783,-0.516289797756563,-0.572494464384736,-0.350523183633829,0.710147916086167,-0.29995729279225,-0.356849943369132
"151",7,1962,0.0535284891132544,-0.250516509870224,-1.09532682758763,-0.766077041795817,-1.11167453905025,-0.852316628555987,0.0517954757763165,-0.258617997127594,-0.749301557060927,0.0468275451996268,-0.713878084356116,-0.644024303290495,-0.586923569920912,-0.949091718988861,-1.1349498209773,0.101183839531394,-1.10155700272838,-1.07597375845405,-0.674765127435589,-0.799604580371362,-0.844619304519253,0.242610126951543,-0.814709090205076,-0.876396115666283
"152",8,1962,-1.19954821350085,-1.29523182746458,-1.22895298210367,-1.53190102208192,-1.24735676085848,-1.27879441343582,-0.318130890009525,-0.771690954735792,-1.39695446967558,-1.42787006778045,-1.3962638284536,-1.38531828239403,-0.373584200197472,-0.770464123604867,-1.08296159999051,-0.290888389966999,-1.04537734118876,-1.12254731706464,-0.659903576100034,-0.879289594540446,-0.884888007528683,-0.0451082157340675,-0.854773756348251,-0.959477501300511
