,Month,Year,P,Tmean,RH
282,6,1973,19.00,18.60,52.90
283,7,1973,2.90,23.10,42.10
284,8,1973,0.00,21.70,51.80
285,9,1973,4.20,19.40,57.00
286,10,1973,7.70,13.10,56.40
287,11,1973,14.10,3.80,64.00
288,12,1973,21.50,1.60,80.10
289,1,1974,22.80,-3.50,82.60
290,2,1974,10.40,3.40,72.20
291,3,1974,25.50,7.90,69.80
292,4,1974,16.20,10.10,62.90
293,5,1974,29.70,16.20,59.10
294,6,1974,16.90,21.40,54.30
295,7,1974,0.00,22.70,41.90
296,8,1974,5.40,21.60,48.90
297,9,1974,6.60,16.40,50.60
298,10,1974,54.10,16.00,57.10
299,11,1974,20.70,7.30,75.00
300,12,1974,73.20,-0.10,84.00
301,1,1975,57.80,-0.60,83.00
302,2,1975,89.50,0.00,82.30
303,3,1975,21.10,7.50,62.60
304,4,1975,100.60,12.40,62.60
305,5,1975,55.30,14.50,71.40
306,6,1975,46.40,19.20,60.50
307,7,1975,0.70,23.60,54.70
308,8,1975,6.40,21.40,47.90
309,9,1975,0.00,17.60,50.90
310,10,1975,33.10,11.60,58.50
311,11,1975,32.50,4.60,72.00
312,12,1975,70.00,-1.80,81.60
313,1,1976,40.30,-1.50,78.30
314,2,1976,37.40,-2.10,78.10
315,3,1976,22.40,5.40,73.20
316,4,1976,51.40,10.20,67.70
317,5,1976,68.40,15.10,67.90
318,6,1976,11.80,18.70,56.90
319,7,1976,16.50,21.70,52.10
320,8,1976,4.20,20.50,53.10
321,9,1976,0.40,17.40,52.70
322,10,1976,74.50,13.00,69.30
323,11,1976,66.90,7.70,72.70
324,12,1976,28.50,2.80,81.20
325,1,1977,73.10,-2.00,82.00
326,2,1977,48.30,6.10,71.20
327,3,1977,45.30,5.20,72.20
328,4,1977,125.10,9.90,66.70
329,5,1977,28.90,15.30,66.50
330,6,1977,20.80,19.60,53.70
331,7,1977,1.60,22.80,45.20
332,8,1977,0.00,22.80,45.00
333,9,1977,9.30,18.20,62.40
334,10,1977,55.50,9.30,66.40
335,11,1977,0.40,9.30,62.90
336,12,1977,70.00,0.00,82.80
337,1,1978,69.00,3.00,82.00
338,2,1978,24.70,5.90,68.40
339,3,1978,80.90,7.20,69.80
340,4,1978,27.40,11.10,62.50
341,5,1978,5.00,17.30,48.70
342,6,1978,11.60,19.90,44.10
343,7,1978,0.00,23.50,38.50
344,8,1978,0.00,20.70,41.60
345,9,1978,18.60,18.20,51.90
346,10,1978,75.80,13.40,62.00
347,11,1978,1.20,3.10,71.30
348,12,1978,30.60,4.30,77.70
349,1,1979,81.30,2.70,76.30
350,2,1979,10.70,4.90,70.60
351,3,1979,35.60,8.00,62.10
352,4,1979,24.50,11.70,55.30
353,5,1979,29.80,16.10,52.70
354,6,1979,62.80,19.60,52.80
355,7,1979,6.10,22.10,44.70
356,8,1979,0.00,23.50,40.90
357,9,1979,0.90,18.60,47.60
358,10,1979,20.50,13.30,64.50
359,11,1979,53.20,8.60,72.40
360,12,1979,52.60,2.60,82.00
361,1,1980,45.50,-0.70,81.60
362,2,1980,54.90,0.80,81.10
363,3,1980,60.20,5.20,73.20
364,4,1980,72.40,10.70,63.50
365,5,1980,69.40,15.50,55.90
366,6,1980,2.80,20.70,40.70
367,7,1980,4.00,25.10,39.60
368,8,1980,3.30,22.30,40.40
369,9,1980,4.80,17.20,48.40
370,10,1980,11.30,13.20,57.00
371,11,1980,43.20,7.00,72.30
372,12,1980,11.70,3.60,72.60
373,1,1981,113.40,3.20,76.30
374,2,1981,40.00,2.50,77.50
375,3,1981,8.10,8.10,62.20
376,4,1981,13.40,10.50,52.30
377,5,1981,49.50,13.50,59.90
378,6,1981,26.70,20.10,52.40
379,7,1981,16.70,23.20,47.60
380,8,1981,0.00,22.30,46.90
381,9,1981,0.40,18.90,45.90
382,10,1981,6.50,15.20,52.30
383,11,1981,26.10,5.20,68.90
384,12,1981,72.00,6.70,72.30
385,1,1982,47.10,1.90,73.70
386,2,1982,27.10,-1.10,72.10
387,3,1982,42.00,3.90,70.50
388,4,1982,54.00,11.60,62.70
389,5,1982,46.70,15.10,55.30
390,6,1982,22.20,19.40,51.30
391,7,1982,0.70,21.30,48.30
392,8,1982,2.60,21.50,46.20
393,9,1982,0.30,18.80,50.30
394,10,1982,19.00,12.30,63.90
395,11,1982,9.20,4.30,66.20
396,12,1982,26.90,2.20,68.40
397,1,1983,26.70,-2.90,77.30
398,2,1983,31.90,0.30,72.50
399,3,1983,47.30,4.80,70.00
400,4,1983,83.10,11.10,61.00
401,5,1983,12.30,16.10,55.40
402,6,1983,24.70,19.10,52.10
403,7,1983,3.00,22.50,47.60
404,8,1983,3.20,20.70,47.90
405,9,1983,6.80,17.40,50.50
406,10,1983,24.60,10.70,65.20
407,11,1983,35.90,8.80,72.60
408,12,1983,34.00,3.10,76.00
409,1,1984,24.30,3.10,79.80
410,2,1984,16.60,4.00,70.10
411,3,1984,71.30,7.10,67.30
412,4,1984,45.90,9.60,67.30
413,5,1984,9.80,17.00,53.90
414,6,1984,3.20,20.40,48.70
415,7,1984,0.50,22.30,52.00
416,8,1984,4.60,20.10,49.10
417,9,1984,0.00,19.90,41.90
418,10,1984,0.20,12.40,49.40
419,11,1984,31.20,6.60,76.60
420,12,1984,34.60,-3.20,83.70
421,1,1985,13.20,4.40,77.00
422,2,1985,47.70,-2.20,80.20
423,3,1985,16.10,3.50,74.60
424,4,1985,29.00,12.80,59.70
425,5,1985,20.50,17.60,59.60
426,6,1985,1.60,21.40,52.40
427,7,1985,0.00,21.90,45.30
428,8,1985,3.90,24.50,42.60
429,9,1985,0.00,18.50,45.40
430,10,1985,83.40,9.50,70.00
431,11,1985,31.00,8.90,75.00
432,12,1985,34.10,2.00,81.40
433,1,1986,29.50,4.00,71.50
434,2,1986,33.30,4.40,73.40
435,3,1986,3.10,7.10,62.80
436,4,1986,15.00,13.40,56.00
437,5,1986,87.10,12.50,71.20
438,6,1986,18.10,19.90,54.40
439,7,1986,0.50,24.70,46.50
440,8,1986,0.00,25.00,41.70
441,9,1986,10.00,20.20,50.60
442,10,1986,3.80,12.80,60.50
443,11,1986,66.20,2.70,78.10
444,12,1986,55.10,1.10,74.80
445,1,1987,35.90,3.70,71.30
446,2,1987,20.70,4.40,70.10
447,3,1987,71.60,-0.40,75.20
448,4,1987,9.20,9.70,60.20
